row_num,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius,gravities,gravities,Gravity,Gravity
120,EPIC 201497682 b,831,0.26,14.102,2019,Terrestrial,0.692,Unknown,2.1 days,0,EPIC 201497682,Transit,,,11h15m44.79s,+00d29m17.2s,,0.78,,3.621487520465101e-11,3.621487520465101e-11
123,EPIC 201833600 c,846,0.972,14.717,2019,Terrestrial,1.0,Unknown,4 days,0,K2-50,Transit,,,11h17m56.07s,+05d59m18.2s,,0.61,,6.48324e-11,6.48324e-11
129,EPIC 206215704 b,360,0.666,16.172,2019,Terrestrial,0.9,Unknown,2.3 days,0,EPIC 206215704,Transit,,,22h20m22.76s,-09d30m34.3s,,0.41,,5.4842222222222225e-11,5.4842222222222225e-11
130,EPIC 206317286 b,1035,0.84,14.051,2019,Terrestrial,0.96,Unknown,1.6 days,0,EPIC 206317286,Transit,,,22h30m28.22s,-07d58m20.7s,,0.71,,6.079427083333332e-11,6.079427083333332e-11
1037,K2-116 b,161,0.257,10.91,2017,Terrestrial,0.69,0.048 AU,4.7 days,0.06,K2-115,Transit,,,08h26m12.83s,+12d16m55.0s,5657,0.95,0.88,7.736805066854329e-11,3.60048309178744e-11
1061,K2-136 b,194,0.937,10.855,2017,Terrestrial,0.99,Unknown,8 days,0.1,K2-133,Transit,89.164,,04h40m35.66s,+25d00m36.0s,3655,0.46,0.46,8.68284023668639e-09,6.37668605244363e-11
1064,K2-137 b,323,158.9,15.498,2017,Terrestrial,0.89,0.0058 AU,0.2 days,0,K2-136,Transit,89.4,,04h29m38.99s,+22d52m57.8s,4499,0.74,0.66,8.361515680149296e-11,1.3380419138997601e-08
1172,K2-209 b,250,0.586,11.205,2018,Terrestrial,0.869,Unknown,2.1 days,0,K2-209,Transit,86.231,,00h58m45.76s,+01d23m01.7s,4720,0.74,0.71,4.713422515620318e-11,5.1758764025154893e-11
1173,K2-210 b,579,0.474,11.535,2018,Terrestrial,0.819,Unknown,0.6 days,0,K2-21,Transit,88.98,,22h41m12.88s,-14d29m20.4s,4222.06,0.68,0.65,8.678717355371901e-11,4.713422515620318e-11
1190,K2-223 b,656,0.64,11.431,2018,Terrestrial,0.89,0.0127 AU,0.5 days,0,K2-222,Transit,,,01h05m50.95s,+11d45m12.3s,6058,1,1.09,8.361515680149296e-11,5.389218533013508e-11
1200,K2-223 b,656,0.64,11.431,2018,Terrestrial,0.89,0.0127 AU,0.5 days,0,K2-229,Transit,,,12h27m29.58s,-06d43m18.7s,5315,0.87,0.79,8.361515680149296e-11,5.389218533013508e-11
1210,K2-239 c,160,0.972,14.549,2018,Terrestrial,1.0,0.0576 AU,7.8 days,0,K2-239,Transit,88.77,,10h42m22.63s,+04d26m28.9s,3420,0.4,0.36,7.55198347107438e-11,6.48324e-11
1235,K2-257 b,209,0.498,13.716,2018,Terrestrial,0.83,0.0216 AU,1.6 days,0,K2-256,Transit,,,12h24m54.52s,-02d03m57.4s,5219,0.84,0.78,9.324208266237252e-09,4.821686746987952e-11
1246,K2-266 c,252,0.29013,11.808,2018,Terrestrial,0.705,0.0679 AU,7.8 days,0.04,K2-266,Transit,75.32,1.77,10h31m44.51s,+00d56m15.3s,4285,0.69,0.7,1.6020726955119593e-08,3.893500528142448e-11
1290,K2-315 b,185,0.809,17.67,2020,Terrestrial,0.95,Unknown,3.1 days,0,K2-3,Transit,89.788,5.62,11h29m20.39s,-01d27m17.2s,3896,0.6,0.56,7.986712054704528e-11,5.978980609418284e-11
1383,K2-89 b,281,0.17,14.162,2016,Terrestrial,0.615,0.01462 AU,1.1 days,0.15,K2-87,Transit,87.74,,04h24m56.69s,+18d49m38.7s,5747,1.16,1.4,9.220400216333154e-09,2.997950955119308e-11
1453,Kepler-1027 b,949,0.64,12.84,2016,Terrestrial,0.89,Unknown,1.9 days,0,Kepler-1020,Transit,,,19h30m41.41s,+46d22m38.7s,5227,0.87,0.8,8.948790627362054e-11,5.389218533013508e-11
1456,Kepler-102 b,353,4.3,11.478,2014,Terrestrial,0.47,Unknown,5.3 days,0,Kepler-1023,Transit,,,19h16m07.14s,+49d46m10.9s,5494,0.93,0.89,1.820310255673657e-10,1.2983703033046627e-09
1457,Kepler-102 c,353,3,11.478,2014,Terrestrial,0.58,Unknown,7.1 days,0,Kepler-1024,Transit,,,19h27m48.24s,+38d15m06.1s,5143,0.81,0.78,1.208568703838974e-10,5.948275862068966e-10
1460,Kepler-102 f,353,5.2,11.478,2014,Terrestrial,0.88,Unknown,27.5 days,0,Kepler-1027,Transit,,,19h10m17.08s,+42d48m50.1s,5436,0.91,0.82,5.1992337164750957e-11,4.478822314049587e-10
1462,Kepler-1031 b,2417,0.59,13.8,2016,Terrestrial,0.87,Unknown,1.2 days,0,Kepler-1029,Transit,,,19h28m31.91s,+41d32m51.1s,5030,0.82,0.77,9.105847417091834e-09,5.1992337164750957e-11
1481,Kepler-1047 c,1846,0.937,13.329,2016,Terrestrial,0.99,Unknown,3.2 days,0,Kepler-1043,Transit,,,18h46m39.12s,+47d34m06.9s,5629,0.92,0.9,5.978980609418284e-11,6.37668605244363e-11
1483,Kepler-1049 b,421,0.809,14.156,2016,Terrestrial,0.95,Unknown,3.3 days,0,Kepler-1045,Transit,,,18h56m43.99s,+45d04m26.8s,5301,0.86,0.82,8.534474120322193e-09,5.978980609418284e-11
1491,Kepler-1053 b,558,0.904,13.209,2016,Terrestrial,0.98,Unknown,2.4 days,0,Kepler-1050,Transit,,,18h51m42.00s,+48d37m35.0s,6010,1.09,1.13,8.993852865357923e-11,6.278300708038318e-11
1508,Kepler-1067 b,2248,0.437,14.273,2016,Terrestrial,0.8,Unknown,0.8 days,0,Kepler-1062,Transit,,,18h55m35.86s,+41d13m17.8s,4597,0.75,0.7,8.311445312499998e-11,4.5543593749999994e-11
1511,Kepler-106 b,1468,5.3,12.839,2014,Terrestrial,0.82,Unknown,6.2 days,0,Kepler-1065,Transit,,,19h38m02.70s,+38d47m25.8s,5635,0.94,0.93,5.986371191135733e-10,5.257436049970257e-10
1513,Kepler-106 d,1468,8.1,12.839,2014,Terrestrial,0.95,Unknown,24 days,0,Kepler-1066,Transit,,,19h55m27.98s,+46d30m08.1s,5762,0.98,0.98,8.112132045841826e-11,5.986371191135733e-10
1522,Kepler-1076 b,649,0.437,12.949,2016,Terrestrial,0.8,Unknown,6.1 days,0,Kepler-1071,Transit,,,19h32m13.92s,+45d14m55.7s,5215,0.86,0.81,7.8894459833795e-11,4.5543593749999994e-11
1539,Kepler-1087 b,1155,0.165,12.901,2016,Terrestrial,0.61,Unknown,0.7 days,0,Kepler-1085,Transit,,,19h09m54.64s,+46d08m28.3s,6000,1.11,1.14,7.986712054704528e-11,2.957672668637463e-11
1596,Kepler-1130 b,763,0.437,12.396,2016,Terrestrial,0.8,Unknown,5.5 days,0,Kepler-1125,Transit,,,19h41m55.49s,+40d43m55.1s,5683,0.95,0.94,9.256326530612247e-09,4.5543593749999994e-11
1609,Kepler-1141 b,1191,0.477,12.335,2016,Terrestrial,0.82,Unknown,2.3 days,0,Kepler-1135,Transit,,,19h04m00.71s,+44d45m23.7s,5656,0.96,0.94,8.2032701064936e-11,4.731692444973231e-11
1624,Kepler-1152 b,600,0.59,14.598,2016,Terrestrial,0.87,Unknown,1.6 days,0,Kepler-1146,Transit,,,19h06m51.99s,+47d25m32.3s,4692,0.74,0.7,9.284036537625055e-09,5.1992337164750957e-11
1644,Kepler-1169 b,1755,0.779,12.685,2016,Terrestrial,0.94,Unknown,6.1 days,0,Kepler-1161,Transit,,,19h56m18.50s,+45d26m26.3s,4253,0.59,0.57,9.36418798334325e-09,5.880409687641468e-11
1650,Kepler-1173 b,1311,0.64,13.804,2016,Terrestrial,0.89,Unknown,0.8 days,0,Kepler-1167,Transit,,,19h53m12.65s,+47d41m38.5s,4971,0.79,0.75,8.626492165691761e-09,5.389218533013508e-11
1682,Kepler-119 c,2336,0.721,14.2,2014,Terrestrial,0.92,0.049 AU,4.1 days,0,Kepler-1193,Transit,,,19h12m34.74s,+51d16m32.3s,5908,1.08,1.21,2.951507568359375e-09,5.681793478260869e-11
1683,Kepler-11 b,2148,1.9,14.2,2010,Terrestrial,1.8,0.091 AU,10.3 days,0.05,Kepler-1194,Transit,,,19h26m47.89s,+38d08m43.0s,5590,0.94,0.92,6.3002691372082176e-09,3.9114197530864194e-11
1715,Kepler-1222 b,1484,0.418,14.091,2016,Terrestrial,0.79,Unknown,1.9 days,0,Kepler-122,Transit,,,19h24m26.85s,+39d56m56.8s,6050,,1.22,8.785742551868391e-11,4.4673289536933176e-11
1733,Kepler-1235 b,1739,0.418,13.877,2016,Terrestrial,0.79,Unknown,4.2 days,0,Kepler-1232,Transit,,,19h46m12.01s,+49d06m08.4s,5471,0.92,0.89,8.770242214532873e-09,4.4673289536933176e-11
1751,Kepler-124 b,1387,0.315,14.124,2014,Terrestrial,0.73,0.039 AU,3.4 days,0,Kepler-1246,Transit,,,19h10m37.78s,+48d58m55.8s,4611,0.73,0.69,7.633065497930361e-11,3.9426721711390514e-11
1764,Kepler-1258 b,2124,0.566,13.785,2016,Terrestrial,0.86,Unknown,1 days,0,Kepler-1255,Transit,,,19h40m57.43s,+42d43m35.3s,6018,1.08,1.12,9.303631993890524e-09,5.10440778799351e-11
1767,Kepler-125 c,601,0.33,14.768,2014,Terrestrial,0.74,0.051 AU,5.8 days,0,Kepler-1258,Transit,,,19h01m37.19s,+49d59m41.1s,5839,0.99,0.99,9.366508185472011e-09,4.019539810080351e-11
1799,Kepler-1285 b,1187,0.871,11.65,2016,Terrestrial,0.97,Unknown,14.8 days,0,Kepler-1282,Transit,,,19h20m42.28s,+46d41m54.0s,5504,0.92,0.89,8.409217405970653e-11,6.174481879051971e-11
1809,Kepler-1293 b,2512,0.871,13.3,2016,Terrestrial,0.97,Unknown,5.6 days,0,Kepler-1290,Transit,,,19h22m44.46s,+43d51m34.7s,5660,0.95,0.93,8.384349635796045e-11,6.174481879051971e-11
1812,Kepler-1296 b,2058,0.693,14.627,2016,Terrestrial,0.91,Unknown,8.4 days,0,Kepler-1293,Transit,,,19h20m06.22s,+48d20m09.4s,6241,1.18,1.28,8.822854146028785e-11,5.58182586644125e-11
1813,Kepler-1297 b,3249,0.871,14.782,2016,Terrestrial,0.97,Unknown,1.7 days,0,Kepler-1294,Transit,,,19h25m04.34s,+44d29m17.5s,5776,0.99,0.97,8.644341115947762e-09,6.174481879051971e-11
1827,Kepler-1308 b,238,0.0933,14.474,2016,Terrestrial,0.52,Unknown,2.1 days,0,Kepler-1305,Transit,,,19h49m21.47s,+46d20m50.1s,5701,0.97,0.96,6.667435601691656e-11,2.3014460059171592e-11
1854,Kepler-1328 b,2055,0.904,13.803,2016,Terrestrial,0.98,Unknown,4.5 days,0,Kepler-1324,Transit,,,19h24m44.39s,+40d18m40.4s,4776,0.78,0.73,8.746943514787242e-11,6.278300708038318e-11
1869,Kepler-1338 b,2019,0.721,13.574,2016,Terrestrial,0.92,Unknown,0.9 days,0,Kepler-1336,Transit,,,19h45m06.65s,+46d53m59.5s,5512,0.94,1.3,8.074799845041322e-11,5.681793478260869e-11
1870,Kepler-1339 b,871,0.285,12.123,2016,Terrestrial,0.71,Unknown,1.3 days,0,Kepler-1337,Transit,,,19h08m02.18s,+46d47m46.0s,4523,0.7,0.67,8.805246137261946e-09,3.7709779805594126e-11
1882,Kepler-1349 b,848,0.271,11.082,2016,Terrestrial,0.7,Unknown,2.1 days,0,Kepler-1347,Transit,,,19h58m38.31s,+40d50m37.9s,5193,0.82,0.79,8.948790627362054e-11,3.6889183673469395e-11
1887,Kepler-1351 b,786,0.208,14.087,2016,Terrestrial,0.65,Unknown,0.9 days,0,Kepler-1350,Transit,,,19h13m00.14s,+46d40m46.6s,3827,0.55,0.53,8.008117283950617e-11,3.283692307692307e-11
1888,Kepler-1352 b,2078,0.64,13.25,2016,Terrestrial,0.89,Unknown,1.9 days,0,Kepler-1350,Transit,,,19h13m00.14s,+46d40m46.6s,3827,0.55,0.53,8.652716269134922e-09,5.389218533013508e-11
1899,Kepler-1361 b,1318,0.566,13.917,2016,Terrestrial,0.86,Unknown,3.6 days,0,Kepler-136,Transit,,,19h45m52.16s,+42d35m55.6s,6165,,1.35,8.96448e-11,5.10440778799351e-11
1903,Kepler-1365 b,1765,0.721,13.38,2016,Terrestrial,0.92,Unknown,7.7 days,0,Kepler-1363,Transit,,,19h47m59.17s,+49d15m23.1s,4839,0.76,0.72,8.578463494547411e-11,5.681793478260869e-11
1904,Kepler-1365 c,1765,0.437,13.38,2016,Terrestrial,0.8,Unknown,4.8 days,0,Kepler-1364,Transit,,,19h40m36.53s,+49d35m15.4s,6805,1.49,1.79,5.681793478260869e-11,4.5543593749999994e-11
1906,Kepler-1367 b,1165,0.721,15.558,2016,Terrestrial,0.92,Unknown,1.6 days,0,Kepler-1365,Transit,,,19h28m47.93s,+42d02m45.9s,5770,1,1.05,8.916493055555556e-09,5.681793478260869e-11
1913,Kepler-1371 b,1468,0.315,13.834,2016,Terrestrial,0.73,Unknown,3.4 days,0,Kepler-1370,Transit,,,18h58m15.76s,+41d46m42.5s,6202,1.19,1.29,8.891127782255564e-11,3.9426721711390514e-11
1914,Kepler-1371 c,1468,0.196,13.834,2016,Terrestrial,0.64,Unknown,2 days,0,Kepler-1370,Transit,,,18h58m15.76s,+41d46m42.5s,6202,1.19,1.29,8.178879310344827e-11,3.19169921875e-11
1930,Kepler-1385 b,1719,0.543,12.844,2016,Terrestrial,0.85,Unknown,2.9 days,0,Kepler-1382,Transit,,,19h41m30.57s,+39d02m52.9s,6161,1.36,1.72,5.776193779627702e-11,5.012885813148789e-11
1932,Kepler-1387 b,1602,0.749,14.58,2016,Terrestrial,0.93,Unknown,2.3 days,0,Kepler-1384,Transit,,,19h44m51.64s,+39d31m37.4s,4919,0.78,0.74,9.366508185472011e-09,5.776193779627702e-11
1938,Kepler-138 b,219,0.066,12.472,2014,Terrestrial,0.522,0.076 AU,10.3 days,0.01,Kepler-1388,Transit,,,18h53m20.65s,+47d10m28.3s,4098,0.63,0.61,2.9060331775751832e-11,1.615581098339719e-11
1944,Kepler-1393 b,1507,0.437,13.332,2016,Terrestrial,0.8,Unknown,2.4 days,0,Kepler-1391,Transit,,,19h39m19.45s,+46d39m34.5s,5840,1.03,1.1,4.5543593749999994e-11,4.5543593749999994e-11
1946,Kepler-1395 b,1654,0.437,12.536,2016,Terrestrial,0.8,Unknown,3.8 days,0,Kepler-1393,Transit,,,18h57m50.27s,+40d08m33.2s,5697,0.95,0.92,8.139095457003786e-11,4.5543593749999994e-11
1949,Kepler-1398 b,2587,0.666,13.66,2016,Terrestrial,0.9,Unknown,2.8 days,0,Kepler-1396,Transit,,,19h37m20.75s,+44d55m05.9s,6195,1.18,1.27,8.96448e-11,5.4842222222222225e-11
1956,Kepler-1402 b,2221,0.363,14.608,2016,Terrestrial,0.76,Unknown,2 days,0,Kepler-140,Transit,,,19h09m28.67s,+46d46m05.6s,6077,,1.29,7.759461399470312e-11,4.191845567867036e-11
1962,Kepler-1408 b,1390,0.64,11.962,2016,Terrestrial,0.89,Unknown,3 days,0,Kepler-1405,Transit,,,19h42m44.36s,+39d15m22.1s,5925,1.05,1.07,8.285714285714286e-11,5.389218533013508e-11
1968,Kepler-1412 b,2084,0.498,13.193,2016,Terrestrial,0.83,Unknown,3.6 days,0,Kepler-141,Transit,,,19h51m53.02s,+47d43m54.0s,4910,,0.79,8.993852865357923e-11,4.821686746987952e-11
1972,Kepler-1416 b,2632,0.615,14.226,2016,Terrestrial,0.88,Unknown,1.5 days,0,Kepler-1413,Transit,,,19h37m22.00s,+46d29m55.6s,5196,0.84,0.8,8.205581361590944e-11,5.297068698347108e-11
1973,Kepler-1417 b,2140,0.972,13.858,2016,Terrestrial,1.0,Unknown,20.4 days,0,Kepler-1414,Transit,,,18h59m42.86s,+42d25m20.3s,4951,0.8,0.75,8.770242214532873e-09,6.48324e-11
1976,Kepler-141 b,991,0.257,13.421,2014,Terrestrial,0.69,0.039 AU,3.1 days,0,Kepler-1417,Transit,,,19h23m47.97s,+40d36m18.8s,5839,1.02,1.02,8.8748779296875e-11,3.60048309178744e-11
1979,Kepler-1421 b,2202,0.749,12.726,2016,Terrestrial,0.93,Unknown,6.9 days,0,Kepler-142,Transit,,,19h40m28.54s,+48d28m52.6s,5790,,1.27,7.123531505873976e-11,5.776193779627702e-11
1983,Kepler-1425 b,1628,0.779,13.563,2016,Terrestrial,0.94,Unknown,14.5 days,0,Kepler-1421,Transit,,,19h06m19.34s,+48d32m39.1s,6335,1.25,1.42,7.55198347107438e-11,5.880409687641468e-11
1996,Kepler-1435 b,2221,0.566,12.869,2016,Terrestrial,0.86,Unknown,4.5 days,0,Kepler-1432,Transit,,,19h42m05.80s,+49d49m46.4s,6031,1.09,1.13,8.70664393414673e-11,5.10440778799351e-11
1999,Kepler-1438 b,2825,0.779,14.861,2016,Terrestrial,0.94,Unknown,2.3 days,0,Kepler-1435,Transit,,,19h24m41.59s,+44d55m16.1s,6356,1.21,1.32,9.220400216333154e-09,5.880409687641468e-11
2006,Kepler-1443 b,1549,0.871,12.212,2016,Terrestrial,0.97,Unknown,2.4 days,0,Kepler-1440,Transit,,,19h01m23.27s,+48d18m44.1s,5698,0.98,0.96,6.079427083333332e-11,6.174481879051971e-11
2008,Kepler-1445 b,1572,0.84,12.418,2016,Terrestrial,0.96,Unknown,10.6 days,0,Kepler-1442,Transit,,,19h25m01.34s,+48d50m49.1s,6394,1.34,1.44,8.700302619221539e-09,6.079427083333332e-11
2009,Kepler-1446 b,528,0.477,12.409,2016,Terrestrial,0.82,Unknown,0.7 days,0,Kepler-1443,Transit,,,18h53m44.58s,+47d04m00.7s,6289,1.19,1.27,8.285714285714286e-11,4.731692444973231e-11
2032,Kepler-1464 c,2257,0.972,14.13,2016,Terrestrial,1.0,Unknown,5.3 days,0,Kepler-1462,Transit,,,19h45m35.41s,+42d23m48.9s,5756,1,1,8.384349635796045e-11,6.48324e-11
2085,Kepler-1505 b,1171,0.749,12.926,2016,Terrestrial,0.93,Unknown,30.9 days,0,Kepler-150,Transit,90,,19h12m56.18s,+40d31m15.3s,5560,,0.94,4.915532879818595e-11,5.776193779627702e-11
2087,Kepler-1507 b,1116,0.52,13.104,2016,Terrestrial,0.84,Unknown,16.1 days,0,Kepler-1501,Transit,,,19h19m40.44s,+42d00m05.2s,6229,1.2,1.3,7.951380569758948e-11,4.915532879818595e-11
